patent_id,inventor_id
D1006496,fl:we_ln:jiang-165
12029253,fl:ei_ln:baumker-1
6584128,fl:ri_ln:kroeger-1
4789863,fl:th_ln:bush-1
11161990,fl:ma_ln:boudreaux-4
6795487,fl:ge_ln:whitworth-1
12324454,fl:ro_ln:egnatchik-1
D474886,fl:th_ln:fleming-4
11885288,fl:du_ln:moon-7
7646155,fl:sa_ln:woods-2
4339721,fl:ta_ln:hosoda-4
6610738,fl:ev_ln:mudrane-1
6448562,0000n8nqsxhrztn7djlxou00k
4432679,fl:do_ln:angelosanto-1
11093663,fl:ba_ln:james-7
8977851,fl:le_ln:neitzel-1
10761618,fl:ja_ln:files-4
10263820,fl:st_ln:parkvall-1
6503081,fl:ja_ln:feine-1
10082632,fl:ch_ln:gaal-1
D935390,fl:mo_ln:narasaiah-1
12354161,fl:hi_ln:takeuchi-48
D1042490,fl:ch_ln:liu-1379
10805689,fl:jo_ln:jung-23
4513070,fl:br_ln:carette-2
11585813,fl:mi_ln:artinger-1
12259564,fl:ed_ln:zizminskas-1
D294010,fl:je_ln:bouchet-6
6705909,fl:te_ln:kaneko-13
7423589,fl:an_ln:ferreol-1
12412163,fl:mi_ln:rector-1
H976,fl:jo_ln:matta-2
10808661,fl:hi_ln:tanada-3
12085897,fl:br_ln:brinson-2
8873018,fl:se_ln:kwon-94
5027236,fl:no_ln:kunze-1
6060464,fl:al_ln:bulla-1
6495081,fl:vi_ln:benatti-1
10025433,fl:xu_ln:dong-28
D291698,fl:ju_ln:hirooka-2
11468472,fl:si_ln:chawla-1
10578989,fl:yu_ln:kawamoto-8
D754593,fl:fe_ln:wang-87
11758627,fl:da_ln:cvoric-1
5808321,fl:sa_ln:teramoto-3
11350577,fl:ha_ln:andersson-10
4596837,fl:ka_ln:yamamoto-123
10601583,fl:wa_ln:feghali-3
6028480,fl:ev_ln:seevinck-1
5254598,fl:ma_ln:marshall-19
9292510,fl:sa_ln:smith-27
7393607,fl:yo_ln:fujii-7
8787526,fl:mu_ln:ishikawa-1
5738825,fl:pe_ln:marbach-1
11447754,fl:br_ln:fox-20
7450847,fl:pa_ln:iannone-2
7295616,fl:zh_ln:sun-126
10755970,fl:ch_ln:liang-25
3940076,fl:to_ln:yoshizawa-16
3930794,fl:ru_ln:schickfluss-1
8426770,fl:mi_ln:ignatieu-1
8492804,fl:su_ln:hiyama-1
7702337,fl:ka_ln:virtanen-3
D544888,fl:mi_ln:mursch-1
4623263,0004z0eq002iqz3t9ecx7l5ml
9819994,fl:aj_ln:luthra-1
10323583,fl:ch_ln:vigild-1
11574318,fl:jo_ln:edwards-71
10999938,fl:th_ln:tellinghuisen-1
11514766,fl:ro_ln:colwill-2
6218584,fl:ri_ln:holub-1
12306814,fl:st_ln:stewart-18
9177503,fl:sc_ln:myers-6
D552974,fl:bj_ln:gunderson-2
11772379,fl:hi_ln:kozai-2
7131780,fl:st_ln:hirsch-3
6163031,fl:ma_ln:abdelrahman-2
12207663,fl:ye_ln:wu-78
9248238,fl:cy_ln:shovary-1
11494246,fl:jo_ln:ellenberger-2
10542585,fl:pr_ln:fick-1
9747218,fl:ja_ln:schukat-1
6706738,fl:ne_ln:harris-4
6218041,fl:fa_ln:barbier-1
5449698,fl:na_ln:kumagai-1
9939993,fl:da_ln:garrett-17
12050012,fl:an_ln:schulz-5
11994655,fl:xu_ln:bian-8
10399851,fl:wa_ln:chen-45
D967187,fl:ca_ln:zimmerman-4
11585320,fl:ja_ln:cassoli-2
10457690,fl:ke_ln:belyk-1
10134082,fl:ro_ln:benkar-1
D869785,fl:jo_ln:sporn-2
5478623,fl:ta_ln:chuman-2
4888086,fl:je_ln:powers-14
7882729,fl:ke_ln:thompson-24
4391419,fl:sh_ln:iwama-7
D824799,fl:em_ln:sallard-1
